truss_number,change_0,change_2,change_4,change_6,change_8,change_10,change_12,change_14,change_16,change_18,change_20,change_22,change_24,change_26,change_28,change_30,change_32,change_34,change_36,change_38,change_40,change_42,change_44,change_46,change_48
11,3521.0,3506.0999999999999,3506.0999999999999,3506.5,3506.5,3506.5999999999999,3506.6999999999998,3506.6999999999998,3506.8000000000002,3506.9000000000001,3506.9000000000001,3506.9000000000001,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.1999999999998,3507.3000000000002,3507.9000000000001,3506.9000000000001,3506.9000000000001,3506.9000000000001,3506.8000000000002,3506.8000000000002,3506.8000000000002
12,2711.0,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.6999999999998,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2708.8000000000002,2709.9000000000001,2709.9000000000001,2709.9000000000001,2710.0,2710.0,2710.0
13,2190.0,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.3000000000002,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.1999999999998,2176.0999999999999,2176.0999999999999,2176.0999999999999
14,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.0999999999999,1394.2,1394.2,1394.2
15,1146.0,1146.0,1146.0,1146.0,1145.0999999999999,1145.0999999999999,1145.0999999999999,1145.0999999999999,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2,1144.2
16,676.0,670.0,670.0,670.0,670.89999999999998,670.89999999999998,670.89999999999998,670.89999999999998,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995,671.79999999999995
17,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0,523.0
18,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
19,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0,540.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
23,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
